dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1759872045,1,-73.992699,40.683421,0.0,14.630048,-1.0,82.378207,1,0,8.642657
1759872146,1,-73.992611,40.6827,0.0,16.149587,-1.0,80.410443,1,0,9.763974
1759872227,1,-73.99169,40.68249,0.0,3.00887,0.778477,86.351282,1,0,8.123255
1759872314,1,-73.990876,40.68202,0.0,11.358553,-1.0,86.365645,1,0,8.917436
1759872457,1,-73.989604,40.681606,0.0,29.461801,-1.0,116.943713,1,0,6.380777
1759872619,1,-73.988693,40.68132,0.0,12.495597,-1.0,83.302781,1,0,4.500146
1759872684,1,-73.988561,40.680544,0.0,40.48382,-1.0,86.892631,1,0,4.745876
1759896003,1,-73.988556,40.681071,0.0,2.21764,-1.0,58.52384,1,0,19.054766
1759937389,1,-73.989378,40.681481,0.0,14.067794,-1.0,83.074944,1,0,2.659922
1759937472,1,-73.990247,40.681862,0.0,14.394258,-1.0,84.773252,1,0,5.333849
1759937539,1,-73.991314,40.682239,0.0,14.830121,-1.0,99.440481,1,0,6.934088
1759937598,1,-73.992334,40.682602,0.0,16.732952,-1.0,95.182505,1,0,10.335963
1759937677,1,-73.992881,40.683268,0.0,13.599462,2.053531,87.223586,1,0,10.594191
1759937726,1,-73.992366,40.683922,0.0,17.734718,-1.0,84.674479,1,0,9.848734
1759937796,1,-73.991997,40.6846,0.0,12.581346,1.902854,81.496516,1,0,8.702637
1759937853,1,-73.991434,40.685309,0.0,16.118448,-1.0,91.999849,1,0,8.038823
1759938499,1,-73.988851,40.72315,0.0,46.582066,-1.0,4207.833141,1,0,1.616857
1759938567,1,-73.995225,40.72495,0.0,168.347923,-1.0,574.409401,1,0,3.153565
1759938749,1,-74.001271,40.731089,0.0,19.998823,-1.0,851.859816,1,0,-6.390509
1759938842,1,-73.996654,40.737452,0.0,65.547252,-1.0,807.090122,1,0,5.23481
1759938872,1,-73.996086,40.738143,0.0,62.25661,-1.0,90.500426,1,0,4.808283
1759939017,1,-73.995169,40.738466,0.0,14.245955,1.279471,85.362696,1,0,10.673831
1759939067,1,-73.994367,40.738001,0.0,18.600839,-1.0,85.182678,1,0,11.187593
1759939126,1,-73.993492,40.737725,0.0,15.085937,-1.0,80.016043,1,0,11.672925
1759939181,1,-73.992801,40.737183,0.0,14.842285,0.0,83.843686,1,0,12.558355
1759939416,1,-73.991623,40.736814,0.0,48.898504,-1.0,107.615513,1,0,40.863127
1759939466,1,-73.992712,40.737123,0.0,35.957528,-1.0,98.18253,1,0,62.57546
1759948401,1,-73.99314,40.73647,0.0,26.726966,-1.0,81.028388,1,0,12.771987
1759948496,1,-73.994025,40.736165,0.0,13.057541,-1.0,82.072745,1,0,12.376459
1759948550,1,-73.99487,40.73661,0.0,19.385239,-1.0,86.815892,1,0,11.358882
1759948620,1,-73.995779,40.736954,0.0,19.684341,-1.0,85.763014,1,0,11.657334
1759948701,1,-73.996657,40.737302,0.0,16.369149,-1.0,83.630975,1,0,11.522552
1759948946,1,-73.99751,40.735837,0.0,73.319028,-1.0,177.92942,1,0,9.763528
1759948947,1,-73.997137,40.736812,0.0,21.550724,-1.0,112.764144,1,0,12.230243
1759952384,1,-73.996369,40.737254,0.0,14.817883,-1.0,81.350729,1,0,14.129371
1759952459,1,-73.995514,40.73685,0.0,15.80984,-1.0,85.023823,1,0,15.579921
1759952562,1,-73.99467,40.73652,0.0,14.919248,-1.0,80.161534,1,0,10.899092
1759952656,1,-73.993844,40.736046,0.0,13.720917,-1.0,87.401988,1,0,11.830057
1759952760,1,-73.99294,40.73567,0.0,18.591363,-1.0,87.032973,1,0,12.319217
1759953644,1,-73.993912,40.735462,0.0,17.952045,-1.0,85.294227,1,0,12.441268
1759961168,1,-73.995009,40.735663,0.0,39.695014,-1.0,95.316519,1,0,13.325228
1759961251,1,-73.995877,40.736052,0.0,15.024035,-1.0,85.101036,1,0,10.94025
1759961343,1,-73.996823,40.736481,0.0,18.399844,-1.0,93.03391,1,0,10.429046
1759961470,1,-73.997066,40.737265,0.0,20.716371,-1.0,89.449463,1,0,10.051333
1759962831,1,-73.991143,40.685439,0.0,53.52012,-1.0,5776.926298,1,0,1.871557
1759963006,1,-73.991773,40.684801,0.0,20.569666,-1.0,88.6329,1,0,7.878217
1759963098,1,-73.992189,40.684141,0.0,15.358504,-1.0,81.291678,1,0,8.051503
1759963306,1,-73.991666,40.684838,0.0,15.532992,-1.0,89.137444,1,0,8.079098
1759963385,1,-73.991212,40.6855,0.0,13.365043,0.716494,82.928824,1,0,6.947363
1759963985,1,-73.990167,40.712916,0.0,123.93704,-1.0,3045.771335,1,0,4.696355
1759964038,1,-73.988257,40.718281,0.0,21.569339,-1.0,617.24665,1,0,-2.523645
1759964253,1,-73.993382,40.720253,0.0,39.075751,-1.0,485.262759,1,0,2.234497
1759964332,1,-74.000165,40.717832,0.0,60.996962,-1.0,633.058429,1,0,-3.049829
1759964690,1,-73.999382,40.717426,0.0,14.245955,1.102675,80.061811,1,0,7.720302
1759964768,1,-73.99862,40.716981,0.0,14.245955,1.262473,81.163679,1,0,9.418951
1759964843,1,-73.99795,40.716463,0.0,14.245955,0.968026,80.708515,1,0,11.006846
1759964933,1,-73.998335,40.715787,0.0,14.245955,0.924271,81.814389,1,0,10.146933
1759964998,1,-73.998727,40.715127,0.0,14.245954,1.04242,80.428983,1,0,10.283198
1759967962,1,-73.998391,40.715864,0.0,16.538835,-1.0,86.62722,1,0,11.218742
1759968166,1,-73.997927,40.716582,0.0,16.268587,-1.0,88.850654,1,0,-2.099829
1759968481,1,-73.9986,40.717092,0.0,17.572741,-1.0,80.257013,1,0,-2.099829
1759968545,1,-73.999493,40.717339,0.0,4.569858,0.668786,80.28556,1,0,7.549992
1759969169,1,-73.994912,40.71419,0.0,62.018451,-1.0,521.643322,1,0,2.240171
1759969197,1,-73.99411,40.712407,0.0,51.085387,-1.0,209.274966,1,0,12.220171
1759969305,1,-73.988632,40.703731,0.0,58.955102,-1.0,1068.878512,1,0,26.750171
1759969312,1,-73.988536,40.702974,0.0,50.837954,-1.0,84.454403,1,0,24.000171
1759969599,1,-73.981447,40.689813,0.0,88.037373,-1.0,1579.532648,1,0,-11.199829
1759970059,1,-73.983047,40.677133,0.0,49.969617,-1.0,1414.564554,1,0,-14.873645
1759970217,1,-73.983829,40.67767,0.0,17.692023,-1.0,89.033853,1,0,7.268612
1759970266,1,-73.984674,40.678069,0.0,12.605875,1.859181,84.064566,1,0,6.106996
1759970354,1,-73.985605,40.678396,0.0,17.253673,-1.0,86.68302,1,0,-10.053645
1759970413,1,-73.986463,40.678753,0.0,13.881964,-1.0,82.665018,1,0,-10.053645
1759970459,1,-73.987322,40.679102,0.0,19.007818,-1.0,82.317234,1,0,-12.053645
1759970542,1,-73.988351,40.67962,0.0,28.399808,-1.0,102.393635,1,0,4.149985
1759970619,1,-73.987472,40.680255,0.0,67.365357,-1.0,102.445084,1,0,-12.563645
1759970701,1,-73.987988,40.680952,0.0,21.50269,-1.0,88.847523,1,0,-12.562742
1759982406,1,-73.988567,40.681088,0.0,3.450415,-1.0,51.2277,1,0,-10.383645
1760031537,1,-73.989483,40.681525,0.0,16.943872,-1.0,91.390699,1,0,2.592636
1760031594,1,-73.990349,40.681898,0.0,14.819945,-1.0,84.119846,1,0,4.483556
1760031655,1,-73.991246,40.682247,0.0,16.579905,-1.0,85.165216,1,0,5.956342
1760031716,1,-73.992159,40.682562,0.0,12.305108,-1.0,84.745021,1,0,9.146687
1760031781,1,-73.993098,40.682939,0.0,12.495765,-1.0,89.743927,1,0,10.424025
1760031868,1,-73.992439,40.68379,0.0,11.667614,-1.0,109.700574,1,0,9.881479
1760031928,1,-73.991981,40.684515,0.0,13.957715,-1.0,89.33597,1,0,8.455358
1760032010,1,-73.991525,40.685187,0.0,14.350787,-1.0,83.992868,1,0,7.785638
1760032696,1,-73.988042,40.718574,0.0,32.992402,-1.0,3719.227905,1,0,-0.641939
1760032746,1,-73.988861,40.723103,0.0,39.995906,-1.0,507.676579,1,0,-0.052788
1760032834,1,-73.995225,40.724949,0.0,168.924107,-1.0,575.44144,1,0,3.15
1760033008,1,-73.996141,40.72514,0.0,14.245955,1.228438,80.246031,1,0,13.568275
1760033127,1,-73.997093,40.725323,0.0,4.974118,1.266017,82.961345,1,0,12.65791
1760033223,1,-73.998037,40.725223,0.0,14.245955,1.130727,80.527288,1,0,11.267366
1760033289,1,-73.998612,40.724644,0.0,14.245955,1.229057,80.587081,1,0,10.303993
1760033377,1,-73.999524,40.725139,0.0,12.44756,-1.0,94.651781,1,0,10.937905
1760033448,1,-74.000323,40.725566,0.0,19.073143,-1.0,82.496268,1,0,8.327905
1760033561,1,-74.001229,40.72593,0.0,13.9971,-1.0,86.564435,1,0,8.327905
1760033633,1,-74.002034,40.726339,0.0,14.494885,-1.0,81.780385,1,0,6.581866
1760033739,1,-74.002845,40.725933,0.0,23.727341,-1.0,82.018788,1,0,6.581866
1760033806,1,-74.003399,40.725329,0.0,14.968491,3.479285,81.788739,1,0,6.581866
1760033890,1,-74.002662,40.724855,0.0,22.849811,-1.0,81.531745,1,0,6.581866
1760033962,1,-74.003177,40.724232,0.0,14.927256,-1.0,81.727143,1,0,4.321866
1760034031,1,-74.003764,40.72365,0.0,4.325638,0.237117,81.463927,1,0,3.613842
1760034081,1,-74.004322,40.723013,0.0,20.865101,-1.0,85.006835,1,0,2.801866
1760036960,1,-74.003795,40.722377,0.0,19.310601,-1.0,83.488918,1,0,2.371866
1760037041,1,-74.003036,40.721896,0.0,13.845093,0.0,83.455149,1,0,6.455816
1760037130,1,-74.002543,40.721212,0.0,89.407916,-1.0,86.626947,1,0,4.401866
